bid/I ch/I l/I w/I  xhv yhv xc yc xro yro
12 3 2 153 100.327237 -536.703312 50.163618 -541.351656 -0.000000 -546.000000
12 5 2 154 116.807463 -533.359181 66.810783 -539.550112 16.814102 -545.741043
12 9 2 155 133.176891 -529.509127 83.394573 -537.236772 33.612255 -544.964417
12 13 2 156 149.419993 -525.156801 99.899258 -534.413831 50.378524 -543.670860
12 14 2 157 165.521360 -520.306332 116.309183 -531.083965 67.097007 -541.861598
12 17 2 158 181.465721 -514.962321 132.608782 -527.250334 83.751844 -539.538348
12 19 2 159 197.237950 -509.129837 148.782593 -522.916575 100.327237 -536.703312
12 27 2 160 212.823087 -502.814413 164.815275 -518.086797 116.807463 -533.359181
12 29 2 161 228.206348 -496.022038 180.691620 -512.765583 133.176891 -529.509127
12 35 2 162 243.373142 -488.759157 196.396567 -506.957979 149.419993 -525.156801
12 37 2 163 258.309082 -481.032658 211.915221 -500.669495 165.521360 -520.306332
12 43 2 164 273.000000 -472.849870 227.232860 -493.906096 181.465721 -514.962321
12 45 2 165 287.431961 -464.218556 242.334955 -486.674197 197.237950 -509.129837
12 47 2 166 301.591275 -455.146902 257.207181 -478.980658 212.823087 -502.814413
13 1 2 167 315.464512 -445.643514 271.835430 -470.832776 228.206348 -496.022038
13 5 2 168 329.038511 -435.717406 286.205827 -462.238282 243.373142 -488.759157
13 11 2 169 342.300398 -425.377994 300.304740 -453.205326 258.309082 -481.032658
13 15 2 170 355.237592 -414.635084 314.118796 -443.742477 273.000000 -472.849870
13 14 2 171 367.837821 -403.498869 327.634891 -433.858712 287.431961 -464.218556
13 19 2 172 380.089134 -391.979910 340.840205 -423.563406 301.591275 -455.146902
13 27 2 173 391.979910 -380.089134 353.722211 -412.866324 315.464512 -445.643514
13 31 2 174 403.498869 -367.837821 366.268690 -401.777614 329.038511 -435.717406
13 35 2 175 414.635084 -355.237592 378.467741 -390.307793 342.300398 -425.377994
13 41 2 176 425.377994 -342.300398 390.307793 -378.467741 355.237592 -414.635084
13 47 2 177 435.717406 -329.038511 401.777614 -366.268690 367.837821 -403.498869
13 46 2 178 445.643514 -315.464512 412.866324 -353.722211 380.089134 -391.979910
14 1 2 179 455.146902 -301.591275 423.563406 -340.840205 391.979910 -380.089134
14 3 2 180 464.218556 -287.431961 433.858712 -327.634891 403.498869 -367.837821
14 9 2 181 472.849870 -273.000000 443.742477 -314.118796 414.635084 -355.237592
14 13 2 182 481.032658 -258.309082 453.205326 -300.304740 425.377994 -342.300398
14 19 2 183 488.759157 -243.373142 462.238282 -286.205827 435.717406 -329.038511
14 21 2 184 496.022038 -228.206348 470.832776 -271.835430 445.643514 -315.464512
14 23 2 185 502.814413 -212.823087 478.980658 -257.207181 455.146902 -301.591275
14 27 2 186 509.129837 -197.237950 486.674197 -242.334955 464.218556 -287.431961
14 31 2 187 514.962321 -181.465721 493.906096 -227.232860 472.849870 -273.000000
14 35 2 188 520.306332 -165.521360 500.669495 -211.915221 481.032658 -258.309082
14 41 2 189 525.156801 -149.419993 506.957979 -196.396567 488.759157 -243.373142
14 43 2 190 529.509127 -133.176891 512.765583 -180.691620 496.022038 -228.206348
14 47 2 191 533.359181 -116.807463 518.086797 -164.815275 502.814413 -212.823087
15 1 2 192 536.703312 -100.327237 522.916575 -148.782593 509.129837 -197.237950
15 3 2 193 539.538348 -83.751844 527.250334 -132.608782 514.962321 -181.465721
15 9 2 194 541.861598 -67.097007 531.083965 -116.309183 520.306332 -165.521360
15 13 2 195 543.670860 -50.378524 534.413831 -99.899258 525.156801 -149.419993
15 17 2 196 544.964417 -33.612255 537.236772 -83.394573 529.509127 -133.176891
15 19 2 197 545.741043 -16.814102 539.550112 -66.810783 533.359181 -116.807463
15 27 2 198 546.000000 -0.000000 541.351656 -50.163618 536.703312 -100.327237
15 31 2 199 545.741043 16.814102 542.639695 -33.468871 539.538348 -83.751844
15 32 2 200 544.964417 33.612255 543.413008 -16.742376 541.861598 -67.097007
15 37 2 201 543.670860 50.378524 543.670860 -0.000000 543.670860 -50.378524
15 39 2 202 541.861598 67.097007 543.413008 16.742376 544.964417 -33.612255
15 41 2 203 539.538348 83.751844 542.639695 33.468871 545.741043 -16.814102
16 11 3 0 554.407714 -92.065666 558.172414 -41.829240 561.937113 8.407187
16 17 3 4 561.434103 -25.214035 559.173935 25.112530 556.913766 75.439095
16 19 3 5 561.937113 -8.407187 558.172414 41.829240 554.407714 92.065666
16 31 3 6 561.937113 8.407187 556.671252 58.508506 551.405391 108.609826
16 33 3 7 561.434103 25.214035 554.671795 75.135400 547.909487 125.056765
17 16 3 17 529.059194 189.579453 507.882736 235.289726 486.706277 281.000000
17 20 3 18 523.151047 205.321656 500.616622 250.377967 478.082197 295.434279
17 21 3 19 516.774608 220.880068 492.902388 265.242086 469.030169 309.604104
18 14 3 31 406.210713 388.377209 368.273013 421.522380 330.335312 454.667551
18 18 3 32 394.410421 400.355366 355.498147 432.350779 316.585873 464.346191
18 32 3 38 316.585873 464.346191 272.585933 488.879369 228.585993 513.412547
19 16 3 45 213.124710 520.021017 164.985540 534.869984 116.846370 549.718952
20 10 3 55 50.377292 559.737553 0.000000 559.737553 -50.377292 559.737553
20 15 3 56 33.609935 560.994093 -16.744810 559.487033 -67.099554 557.979973
20 14 3 57 16.812492 561.748467 -33.474631 558.735696 -83.761754 555.722924
20 28 3 58 0.000000 562.000000 -50.174487 557.484214 -100.348975 552.968429
20 40 3 65 -116.846370 549.718952 -164.985540 534.869984 -213.124710 520.021017
21 10 3 70 -197.472651 526.163997 -242.861023 504.306110 -288.249394 482.448222
21 26 3 71 -213.124710 520.021017 -257.838878 496.815098 -302.553046 473.609179
21 38 3 78 -316.585873 464.346191 -355.498147 432.350779 -394.410421 400.355366
22 30 3 89 -449.675054 337.099905 -476.157579 294.244947 -502.640103 251.389989
22 34 3 90 -459.558295 323.496791 -484.746941 279.868777 -509.935586 236.240762
22 36 3 91 -469.030169 309.604104 -492.902388 265.242086 -516.774608 220.880068
11 3 3 144 -302.553046 -473.609179 -257.838878 -496.815098 -213.124710 -520.021017
11 7 3 145 -288.249394 -482.448222 -242.861023 -504.306110 -197.472651 -526.163997
11 9 3 146 -273.687719 -490.855409 -227.665773 -511.345699 -181.643827 -531.835990
11 13 3 147 -258.881057 -498.823213 -212.266733 -517.927565 -165.652408 -537.031917
11 17 3 148 -243.842661 -506.344504 -196.677684 -524.045816 -149.512707 -541.747128
11 19 3 149 -228.585993 -513.412547 -180.912583 -529.694974 -133.239172 -545.977402
11 29 3 151 -197.472651 -526.163997 -148.910813 -539.566213 -100.348975 -552.968429
11 31 3 152 -181.643827 -531.835990 -132.702791 -543.779457 -83.761754 -555.722924
11 35 3 153 -165.652408 -537.031917 -116.375981 -547.505945 -67.099554 -557.979973
11 37 3 154 -149.512707 -541.747128 -99.944999 -550.742340 -50.377292 -559.737553
11 41 3 155 -133.239172 -545.977402 -83.424553 -553.485747 -33.609935 -560.994093
11 43 3 156 -116.846370 -549.718952 -66.829431 -555.733709 -16.812492 -561.748467
12 7 3 157 -100.348975 -552.968429 -50.174487 -557.484214 -0.000000 -562.000000
12 11 3 158 -83.761754 -555.722924 -33.474631 -558.735696 16.812492 -561.748467
12 12 3 159 -67.099554 -557.979973 -16.744810 -559.487033 33.609935 -560.994093
12 15 3 160 -50.377292 -559.737553 -0.000000 -559.737553 50.377292 -559.737553
12 31 3 165 33.609935 -560.994093 83.424553 -553.485747 133.239172 -545.977402
12 33 3 166 50.377292 -559.737553 99.944999 -550.742340 149.512707 -541.747128
12 34 3 167 67.099554 -557.979973 116.375981 -547.505945 165.652408 -537.031917
12 39 3 168 83.761754 -555.722924 132.702791 -543.779457 181.643827 -531.835990
12 41 3 169 100.348975 -552.968429 148.910813 -539.566213 197.472651 -526.163997
13 3 3 171 133.239172 -545.977402 180.912583 -529.694974 228.585993 -513.412547
13 7 3 172 149.512707 -541.747128 196.677684 -524.045816 243.842661 -506.344504
13 9 3 173 165.652408 -537.031917 212.266733 -517.927565 258.881057 -498.823213
13 13 3 174 181.643827 -531.835990 227.665773 -511.345699 273.687719 -490.855409
13 17 3 176 213.124710 -520.021017 257.838878 -496.815098 302.553046 -473.609179
13 29 3 178 243.842661 -506.344504 287.088987 -480.506027 330.335312 -454.667551
13 33 3 179 258.881057 -498.823213 301.335057 -471.702567 343.789056 -444.581921
13 37 3 180 273.687719 -490.855409 315.311391 -462.476870 356.935063 -434.098331
13 39 3 181 288.249394 -482.448222 329.005479 -452.837193 369.761564 -423.226164
13 43 3 182 302.553046 -473.609179 342.405062 -442.792165 382.257079 -411.975152
13 45 3 183 316.585873 -464.346191 355.498147 -432.350779 394.410421 -400.355366
