b/I ch/I l/I h/I w/I xhv yhv xc yc xro yro
3   17   12  509 3   27.946875 703.917907 47.450542 702.600716 66.954209 701.283525
3   20   12  511 4   11.187335 704.383625 30.716825 703.530949 50.246314 702.678273
3   29   12  513 5   -5.578542 704.450373 13.965709 704.062695 33.509959 703.675018
3   32   12  515 6   -22.341259 704.118112 -2.793318 704.195653 16.754624 704.273193
3   39   12  517 7   -39.091322 703.387032 -19.550762 703.929746 -0.010201 704.472461
3   11   12  519 8   -55.819243 702.257546 -36.297132 703.265127 -16.775021 704.272708
3   14   12  521 9   -72.515547 700.730293 -53.022943 702.202170 -33.530339 703.674047
3   21   12  523 10  -89.170778 698.806139 -69.718722 700.741479 -50.266665 702.676818
3   26   12  525 11  -105.775501 696.486175 -86.375011 698.883880 -66.974520 701.281585
3   33   13  529 0   107.106561 712.499098 87.775328 714.872675 68.444094 717.246252
3   36   13  531 1   90.498451 714.798441 71.117220 716.721557 51.735990 718.644674
3   43   13  533 2   73.841334 716.710707 54.420602 718.182322 34.999870 719.653937
3   45   13  535 3   57.144231 718.234862 37.694514 719.254179 18.244798 720.273495
3   47   13  537 4   40.416183 719.370080 20.948014 719.936546 1.479845 720.503012
3   0    13  539 5   23.666249 720.115747 4.190170 720.229056 -15.285908 720.342364
3   5    13  1   6   6.903499 720.471458 -12.569943 720.131548 -32.043385 719.791638
3   9    13  3   7   -9.862989 720.437021 -29.323249 719.644077 -48.783509 718.851132
3   12   13  5   8   -26.624136 720.012455 -46.060676 718.766905 -65.497216 717.521355
3   19   13  7   9   -43.370866 719.197990 -62.773161 717.500509 -82.175455 715.803028
3   24   13  9   10  -60.094110 717.994066 -79.451652 715.845573 -98.809195 713.697081
3   31   13  11  11  -76.784811 716.401335 -96.087119 713.802995 -115.389428 711.204654
3   34   14  527 0   75.474747 732.657972 94.718750 730.161582 113.962754 727.665193
3   41   14  529 1   58.777552 734.186176 78.073395 732.128488 97.369237 730.070800
3   6    14  531 2   42.049896 735.333902 61.387579 733.715983 80.725261 732.098063
3   13   14  533 3   25.300450 736.100556 44.669950 734.923243 64.039451 733.745930
3   16   14  535 4   8.537891 736.485741 27.929173 735.749645 47.320454 735.013548
3   25   14  537 5   -8.229092 736.489256 11.173921 736.194758 30.576934 735.900260
3   28   14  539 6   -24.991810 736.111100 -5.587121 736.258353 13.817567 736.405606
3   35   14  541 7   -41.741577 735.351469 -22.345268 735.940396 -2.948959 736.529324
3   38   14  543 8   -58.469712 734.210756 -39.091835 735.241053 -19.713958 736.271351
3   42   14  545 9   -75.167546 732.689553 -55.818143 734.160686 -36.468740 735.631819
3   44   14  547 10  -91.826427 730.788649 -72.515525 732.699855 -53.204623 734.611060
3   1    14  549 11  -108.437720 728.509027 -89.175327 730.859316 -69.912934 733.209604
3   3    15  553 0   107.363631 744.343519 84.957142 746.892202 62.550653 749.440884
3   4    15  555 1   90.753786 746.550717 68.296077 748.599574 45.838368 750.648431
3   8    15  557 2   74.098890 748.387318 51.601109 749.935332 29.103327 751.483346
3   15   15  559 3   57.407211 749.852409 34.880525 750.898812 12.353840 751.945215
3   18   15  561 4   40.687033 750.945263 18.142626 751.489536 -4.401781 752.033808
3   27   15  563 5   23.946658 751.665338 1.395721 751.707210 -21.155216 751.749081
3   30   15  1   6   7.194396 752.012277 -15.351877 751.551726 -37.898149 751.091175
3   37   15  3   7   -9.561438 751.985906 -32.091854 751.023162 -54.622269 750.060418
3   40   15  5   8   -26.312525 751.586239 -48.815900 750.121780 -71.319275 748.657321
3   22   15  7   9   -43.050550 750.813475 -65.515713 748.848027 -87.980876 746.882580
3   23   15  9   10  -59.767205 749.667996 -82.183004 747.202537 -104.598802 744.737077
3   46   15  11  11  -76.454190 748.150373 -98.809497 745.186125 -121.164804 742.221876
4   2    16  551 0   61.247345 765.639215 83.583231 763.193038 105.919118 760.746861
4   7    16  553 1   44.530439 766.793118 66.914372 764.834777 89.298306 762.876437
4   10   16  555 2   27.792338 767.582068 50.213666 766.112497 72.634994 764.642925
4   17   16  557 3   11.041009 768.005691 33.489060 767.025588 55.937111 766.045485
4   20   16  559 4   -5.715574 768.063785 16.748516 767.573617 39.212606 767.083448
4   29   16  561 5   -22.469437 767.756322 0.000000 767.756322 22.469437 767.756322
4   32   16  563 6   -39.212606 767.083448 -16.748516 767.573617 5.715574 768.063785
4   39   16  565 7   -55.937111 766.045485 -33.489060 767.025588 -11.041009 768.005691
4   11   16  567 8   -72.634994 764.642925 -50.213666 766.112497 -27.792338 767.582068
4   14   16  569 9   -89.298306 762.876437 -66.914372 764.834777 -44.530439 766.793118
4   21   16  571 10  -105.919118 760.746861 -83.583231 763.193038 -61.247345 765.639215
4   26   17  577 0   112.770339 775.970334 90.531706 778.556276 68.293073 781.142218
4   33   17  579 1   96.162294 778.203008 73.873478 780.313125 51.584662 782.423243
4   36   17  581 2   79.510329 780.080263 57.181511 781.713592 34.852692 783.346921
4   43   17  583 3   62.822051 781.601240 40.463427 782.757035 18.104804 783.912830
4   45   17  585 4   46.105080 782.765246 23.726864 783.442978 1.348647 784.120711
4   47   17  587 5   29.367053 783.571748 6.979463 783.771109 -15.408126 783.970470
4   0    17  1   6   12.615613 784.020379 -9.771125 783.741277 -32.157862 783.462175
4   5    17  3   7   -4.141589 784.110933 -26.517250 783.353496 -48.892911 782.596059
4   9    17  5   8   -20.896899 783.843370 -43.251264 782.607943 -65.605629 781.372517
4   12   17  7   9   -37.642666 783.217810 -59.965525 781.504959 -82.288384 779.792107
4   19   17  9   10  -54.371240 782.234541 -76.652398 780.045046 -98.933557 777.855552
4   24   17  11  11  -71.074982 780.894010 -93.304263 778.228873 -115.533544 775.563736
4   31   18  573 0   75.334922 796.602951 97.476733 793.884278 119.618543 791.165606
4   34   18  575 1   58.635607 798.005938 80.829496 795.751565 103.023386 793.497192
4   41   18  577 2   41.910571 799.058894 64.146806 797.269809 86.383040 795.480724
4   6    18  579 3   25.167153 799.761356 47.435978 798.438344 69.704803 797.115332
4   13   18  581 4   8.412695 800.113016 30.704344 799.256657 52.995992 798.400298
4   16   18  583 5   -8.345453 800.113720 13.959241 799.724390 36.263935 799.335060
4   25   18  585 6   -25.099940 799.763468 -2.791984 799.841338 19.515971 799.919208
4   28   18  587 7   -41.843417 799.062413 -19.541985 799.607448 2.759447 800.152484
4   35   18  589 8   -58.568541 798.010863 -36.283414 799.022825 -13.998287 800.034787
4   38   18  591 9   -75.267974 796.609279 -53.008928 798.087723 -30.749882 799.566168
4   42   18  593 10  -91.934393 794.858276 -69.711191 796.802554 -47.487988 798.746833
4   44   18  595 11  -108.560486 792.758622 -86.382875 795.167881 -64.205265 797.577141
