l1/I l2/I w1/I w2/I z x
6 7 0 1 -53.591426 77.188781
6 7 0 2 -179.461150 68.864622
6 7 0 3 -305.395909 60.536163
6 7 0 4 -431.441035 52.200405
6 7 0 5 -557.641973 43.854343
6 7 0 6 -684.044431 35.494954
6 7 0 7 -810.694380 27.119197
6 7 0 8 -937.638188 18.724006
6 7 0 9 -1064.922611 10.306290
6 7 0 10 -1192.594919 1.862921
6 7 1 0 197.987489 77.236826
6 7 1 1 72.130229 68.885922
6 7 1 2 -53.701662 60.536702
6 7 1 3 -179.553325 52.186170
6 7 1 4 -305.469974 43.831326
6 7 1 5 -431.496869 35.469167
6 7 1 6 -557.679464 27.096677
6 7 1 7 -684.063416 18.710826
6 7 1 8 -810.694704 10.308565
6 7 1 9 -937.619629 1.886819
6 7 1 10 -1064.884937 -6.557511
6 7 2 0 323.791372 68.957098
6 7 2 1 197.878789 60.581287
6 7 2 2 72.036817 52.210173
6 7 2 3 -53.779701 43.840753
6 7 2 4 -179.615925 35.470021
6 7 2 5 -305.517005 27.094975
6 7 2 6 -431.528210 18.712604
6 7 2 7 -557.694950 10.319886
6 7 2 8 -684.062888 1.913784
6 7 2 9 -810.677946 -6.508756
6 7 2 10 -937.586417 -14.950815
6 7 3 0 449.718174 60.669281
6 7 3 1 323.702243 52.271706
6 7 3 2 197.802269 43.881858
6 7 3 3 71.973007 35.496723
6 7 3 4 -53.830717 27.113289
6 7 3 5 -179.654011 18.728551
6 7 3 6 -305.542026 10.339501
6 7 3 7 -431.539999 1.943123
6 7 3 8 -557.693345 -6.463609
6 7 3 9 -684.047680 -14.883735
6 7 3 10 -810.648917 -23.320314
6 7 4 0 575.816180 52.370195
6 7 4 1 449.648715 43.954000
6 7 4 2 323.642722 35.548576
6 7 4 3 197.752805 27.150896
6 7 4 4 71.933703 18.757938
6 7 4 5 -53.859716 10.366695
6 7 4 6 -179.672559 1.974155
6 7 4 7 -305.549955 -6.422690
6 7 4 8 -431.537144 -14.826860
6 7 4 9 -557.679502 -23.241380
6 7 4 10 -684.022638 -31.669294
6 7 5 0 702.133909 44.056649
6 7 5 1 575.766490 35.624982
6 7 5 2 449.606302 27.207141
6 7 5 3 323.607726 18.800084
6 7 5 4 197.725344 10.400779
6 7 5 5 71.913931 2.006210
6 7 5 6 -53.871641 -6.386635
6 7 5 7 -179.676466 -14.780764
6 7 5 8 -305.545678 -23.179190
6 7 5 9 -431.524483 -31.584928
6 7 5 10 -557.658253 -40.001006
6 7 6 0 828.720225 35.725426
6 7 6 1 702.104128 27.281443
6 7 6 2 575.741334 18.854352
6 7 6 3 449.585928 10.441092
6 7 6 4 323.592270 2.038618
6 7 6 5 197.714969 -6.356095
6 7 6 6 71.908808 -14.746064
6 7 6 7 -53.871343 -23.134299
6 7 6 8 -179.670574 -31.523806
6 7 6 9 -305.533998 -39.917594
6 7 6 10 -431.506818 -48.318677
6 7 7 0 955.624422 27.373282
6 7 7 1 828.710540 18.920154
6 7 7 2 702.096415 10.486991
6 7 7 3 575.735769 2.070711
6 7 7 4 449.582665 -6.331745
6 7 7 5 323.591480 -14.723417
6 7 7 6 197.716835 -23.107326
6 7 7 7 71.913501 -31.486486
6 7 7 8 -53.863646 -39.863902
6 7 7 9 -179.659685 -48.242576
6 7 7 10 -305.519725 -56.625513
6 7 8 0 1082.896235 18.996943
6 7 8 1 955.635005 10.537860
6 7 8 2 828.720444 2.101820
6 7 8 3 702.105835 -6.314282
6 7 8 4 575.744877 -14.713524
6 7 8 5 449.591641 -23.098958
6 7 8 6 323.600519 -31.473617
6 7 8 7 197.726110 -39.840518
6 7 8 8 71.923193 -48.202666
6 7 8 9 -53.853353 -56.563062
6 7 8 10 -179.648607 -64.924702
6 7 9 0 1210.586036 10.593094
6 7 9 1 1082.927353 2.131270
6 7 9 2 955.662783 -6.304430
6 7 9 3 828.745097 -14.717137
6 7 9 4 702.127553 -23.109949
6 7 9 5 575.763849 -31.485936
6 7 9 6 449.608073 -39.848140
6 7 9 7 323.614588 -48.199587
6 7 9 8 197.738000 -56.543285
6 7 9 9 71.933082 -64.882233
6 7 9 10 -53.845286 -73.219420
6 7 10 0 1338.744789 2.158382
6 7 10 1 1210.637933 -6.302940
6 7 10 2 1082.973242 -14.735057
6 7 10 3 955.702897 -23.141128
6 7 10 4 828.779646 -31.524274
6 7 10 5 702.156734 -39.887583
6 7 10 6 575.787881 -48.234111
6 7 10 7 449.627137 -56.566894
6 7 10 8 323.628870 -64.888946
6 7 10 9 197.747675 -73.203265
6 7 10 10 71.938322 -81.512839
7 8 0 0 53.763911 84.130889
7 8 0 1 180.119510 75.814850
7 8 0 2 306.537212 67.494724
7 8 0 3 433.060248 59.167666
7 8 0 4 559.732006 50.830819
7 8 0 5 686.596060 42.481317
7 8 0 6 813.696282 34.116271
7 8 0 7 941.076820 25.732777
7 8 0 8 1068.782260 17.327899
7 8 0 9 1196.857625 8.898675
7 8 1 0 -72.437200 75.835437
7 8 1 1 53.881522 67.493147
7 8 1 2 180.219161 59.149608
7 8 1 3 306.618838 50.801972
7 8 1 4 433.123772 42.447385
7 8 1 5 559.777309 34.082984
7 8 1 6 686.623028 25.705890
7 8 1 7 813.704732 17.313212
7 8 1 8 941.066589 8.902032
7 8 1 9 1068.753146 0.469409
7 8 2 0 -198.663926 67.538301
7 8 2 1 -72.336417 59.172766
7 8 2 2 53.966854 50.808835
7 8 2 3 180.288964 42.443658
7 8 2 4 306.673020 34.074378
7 8 2 5 433.162208 25.698137
7 8 2 6 559.799878 17.312062
7 8 2 7 686.629549 8.913273
7 8 2 8 813.695040 0.498868
7 8 2 9 941.040488 -7.934076
7 8 3 0 -324.961983 59.236476
7 8 3 1 -198.580011 50.850693
7 8 3 2 -72.265463 42.469383
7 8 3 3 54.024756 34.089688
7 8 3 4 180.333707 25.708750
7 8 3 5 306.704474 17.323711
7 8 3 6 433.180243 8.931704
7 8 3 7 559.804315 0.529857
7 8 3 8 686.620223 -7.884719
7 8 3 9 813.671759 -16.314930
7 8 4 0 -451.377233 50.926948
7 8 4 1 -324.895041 42.523911
7 8 4 2 -198.523551 34.128229
7 8 4 3 -72.219590 25.737033
7 8 4 4 54.059919 17.347462
7 8 4 5 180.358024 8.956655
7 8 4 6 306.717808 0.561750
7 8 4 7 433.182417 -7.840119
7 8 4 8 559.795161 -16.251829
7 8 4 9 686.599555 -24.676272
7 8 5 0 -577.955653 42.606695
7 8 5 1 -451.327343 34.189399
7 8 5 2 -324.853170 25.782349
7 8 5 3 -198.489819 17.382665
7 8 5 4 -72.194133 8.987479
7 8 5 5 54.076961 0.593929
7 8 5 6 180.366504 -7.800849
7 8 5 7 306.717551 -16.199714
7 8 5 8 433.173253 -24.605537
7 8 5 9 559.776910 -33.021194
7 8 6 0 -704.743502 34.272675
7 8 6 1 -577.922959 25.844120
