l c x y
8 417 33.479824 574.826372
8 418 25.116067 575.252501
8 419 16.746997 575.556943
8 420 8.374384 575.739634
8 421 0.000000 575.800535
8 422 -8.374384 575.739634
8 423 -16.746997 575.556943
8 424 -25.116067 575.252501
8 425 -33.479824 574.826372
8 426 -41.836498 574.278647
8 427 -50.184323 573.609441
8 428 -58.521532 572.818895
8 429 -66.846362 571.907178
8 430 -75.157051 570.874482
9 0 -1.377132 583.887304
9 1 -9.639493 583.809353
9 2 -17.899924 583.614490
9 3 -26.156771 583.302755
9 4 -34.408379 582.874209
9 5 -42.653097 582.328940
9 6 -50.889273 581.667055
9 7 -59.115259 580.888687
9 8 -67.329406 579.993993
9 9 -75.530070 578.983151
9 10 -83.715609 577.856364
9 434 80.988878 578.244829
9 435 72.798115 579.332992
9 436 64.592774 580.305139
9 437 56.374498 581.161076
9 438 48.144932 581.900632
9 439 39.905725 582.523659
9 440 31.658527 583.030032
9 441 23.404989 583.419649
9 442 15.146764 583.692433
9 443 6.885505 583.848328
10 0 -1.395932 591.858462
10 1 -9.771090 591.779447
10 2 -18.144292 591.581924
10 3 -26.513860 591.265932
10 4 -34.878118 590.831537
10 5 -43.235392 590.278823
10 6 -51.584007 589.607902
10 7 -59.922293 588.818908
10 8 -68.248579 587.912000
10 9 -76.561197 586.887358
10 10 -84.858484 585.745188
10 434 82.094528 586.138956
10 435 73.791946 587.241974
10 436 65.474586 588.227393
10 437 57.144115 589.095016
10 438 48.802201 589.844668
10 439 40.450513 590.476201
10 440 32.090725 590.989486
10 441 23.724511 591.384423
10 442 15.353546 591.660930
10 443 6.979506 591.818954
11 0 -93.307538 592.643522
11 434 87.859688 593.475624
11 435 79.674156 594.629859
11 436 71.473498 595.671201
11 437 63.259270 596.599452
11 438 55.033032 597.414434
11 439 46.796345 598.115995
11 440 38.550774 598.703999
11 441 30.297884 599.178337
11 442 22.039242 599.538917
11 443 13.776415 599.785671
11 444 5.510973 599.918553
11 445 -2.755516 599.937537
11 446 -11.021481 599.842619
11 447 -19.285354 599.633818
11 448 -27.545565 599.311174
11 449 -35.800547 598.874746
11 450 -44.048731 598.324619
11 451 -52.288553 597.660897
11 452 -60.518448 596.883706
11 453 -68.736853 595.993193
11 454 -76.942207 594.989527
11 455 -85.132954 593.872900
12 0 -94.547505 600.519183
12 434 89.027259 601.362343
12 435 80.732949 602.531917
12 436 72.423312 603.587098
12 437 64.099924 604.527684
12 438 55.764368 605.353497
12 439 47.418223 606.064380
12 440 39.063077 606.660199
12 441 30.700514 607.140839
12 442 22.332122 607.506211
12 443 13.959490 607.756245
12 444 5.584208 607.890892
12 445 -2.792134 607.910129
12 446 -11.167946 607.813950
12 447 -19.541637 607.602374
12 448 -27.911619 607.275442
12 449 -36.276301 606.833215
12 450 -44.634096 606.275777
12 451 -52.983418 605.603235
12 452 -61.322680 604.815715
12 453 -69.650299 603.913368
12 454 -77.964695 602.896365
12 455 -86.264289 601.764898
13 0 -4.135030 615.982138
13 1 -12.404345 615.871110
13 2 -20.671423 615.649076
13 3 -28.934776 615.316074
13 4 -37.192914 614.872165
13 5 -45.444348 614.317429
13 6 -53.687590 613.651966
13 7 -61.921156 612.875895
13 8 -70.143561 611.989357
13 9 -78.353323 610.992511
13 10 -86.548962 609.885538
13 456 94.729001 608.668636
13 457 86.548962 609.885538
13 458 78.353323 610.992511
13 459 70.143561 611.989357
13 460 61.921156 612.875895
13 461 53.687590 613.651966
13 462 45.444348 614.317429
13 463 37.192914 614.872165
13 464 28.934776 615.316074
