l c x y
10 2 -9.771090 591.779447
10 3 -18.144292 591.581924
10 4 -26.513860 591.265932
10 5 -34.878118 590.831537
10 6 -43.235392 590.278823
10 7 -51.584007 589.607902
10 8 -59.922293 588.818908
10 9 -68.248579 587.912000
10 10 -76.561197 586.887358
10 434 90.380670 584.918560
10 435 82.094528 586.138956
10 436 73.791946 587.241974
10 437 65.474586 588.227393
10 438 57.144115 589.095016
10 439 48.802201 589.844668
10 440 40.450513 590.476201
10 441 32.090725 590.989486
10 442 23.724511 591.384423
10 443 15.353546 591.660930
11 0 -93.307538 592.643522
11 434 87.859688 593.475624
11 435 79.674156 594.629859
11 436 71.473498 595.671201
11 437 63.259270 596.599452
11 438 55.033032 597.414434
11 439 46.796345 598.115995
11 440 38.550774 598.703999
11 441 30.297884 599.178337
11 442 22.039242 599.538917
11 443 13.776415 599.785671
11 444 5.510973 599.918553
11 445 -2.755516 599.937537
11 446 -11.021481 599.842619
11 447 -19.285354 599.633818
11 448 -27.545565 599.311174
11 449 -35.800547 598.874746
11 450 -44.048731 598.324619
11 451 -52.288553 597.660897
11 452 -60.518448 596.883706
11 453 -68.736853 595.993193
11 454 -76.942207 594.989527
11 455 -85.132954 593.872900
12 0 -94.547505 600.519183
12 434 89.027259 601.362343
12 435 80.732949 602.531917
12 436 72.423312 603.587098
12 437 64.099924 604.527684
12 438 55.764368 605.353497
12 439 47.418223 606.064380
12 440 39.063077 606.660199
12 441 30.700514 607.140839
12 442 22.332122 607.506211
12 443 13.959490 607.756245
12 444 5.584208 607.890892
12 445 -2.792134 607.910129
12 446 -11.167946 607.813950
12 447 -19.541637 607.602374
12 448 -27.911619 607.275442
12 449 -36.276301 606.833215
12 450 -44.634096 606.275777
12 451 -52.983418 605.603235
12 452 -61.322680 604.815715
12 453 -69.650299 603.913368
12 454 -77.964695 602.896365
12 455 -86.264289 601.764898
13 0 -4.135030 615.982138
13 1 -12.404345 615.871110
13 2 -20.671423 615.649076
13 3 -28.934776 615.316074
13 4 -37.192914 614.872165
13 5 -45.444348 614.317429
13 6 -53.687590 613.651966
13 7 -61.921156 612.875895
13 8 -70.143561 611.989357
13 9 -78.353323 610.992511
13 10 -86.548962 609.885538
13 456 94.729001 608.668636
13 457 86.548962 609.885538
13 458 78.353323 610.992511
13 459 70.143561 611.989357
13 460 61.921156 612.875895
13 461 53.687590 613.651966
13 462 45.444348 614.317429
13 463 37.192914 614.872165
13 464 28.934776 615.316074
13 465 20.671423 615.649076
13 466 12.404345 615.871110
13 467 4.135030 615.982138
14 0 -4.188558 623.956016
14 1 -12.564919 623.843552
14 2 -20.939015 623.618643
14 3 -29.309337 623.281331
14 4 -37.674376 622.831675
14 5 -46.032624 622.269758
14 6 -54.382575 621.595680
14 7 -62.722725 620.809564
14 8 -71.051568 619.911549
14 9 -79.367605 618.901800
14 10 -87.669337 617.780496
14 456 95.955267 616.547842
14 457 87.669337 617.780496
14 458 79.367605 618.901800
14 459 71.051568 619.911549
14 460 62.722725 620.809564
14 461 54.382575 621.595680
14 462 46.032624 622.269758
14 463 37.674376 622.831675
14 464 29.309337 623.281331
14 465 20.939015 623.618643
14 466 12.564919 623.843552
14 467 4.188558 623.956016
15 458 85.231936 626.272420
15 459 77.026981 627.334418
15 460 68.808828 628.288924
15 461 60.578885 629.135777
15 462 52.338562 629.874831
15 463 44.089272 630.505958
15 464 35.832426 631.029052
15 465 27.569441 631.444022
15 466 19.301733 631.750798
15 467 11.030717 631.949326
15 468 2.757810 632.039573
15 469 -5.515568 632.021523
15 470 -13.788002 631.895180
15 471 -22.058073 631.660564
15 472 -30.324365 631.317717
15 473 -38.585460 630.866697
15 474 -46.839944 630.307581
15 475 -55.086403 629.640465
15 476 -63.323422 628.865464
15 477 -71.549592 627.982709
15 478 -79.763502 626.992353
15 479 -87.963745 625.894565
16 458 86.307418 634.174911
16 459 77.998930 635.250309
16 460 69.677078 636.216860
16 461 61.343287 637.074399
16 462 52.998986 637.822778
16 463 44.645603 638.461869
16 464 36.284571 638.991564
16 465 27.917321 639.411770
16 466 19.545288 639.722417
16 467 11.169905 639.923450
16 468 2.792609 640.014836
16 469 -5.585165 639.996558
16 470 -13.961983 639.868621
16 471 -22.336408 639.631045
16 472 -30.707006 639.283872
16 473 -39.072343 638.827160
16 474 -47.430985 638.260989
16 475 -55.781499 637.585455
16 476 -64.122456 636.800675
16 477 -72.452426 635.906781
16 478 -80.769981 634.903929
