run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I
001008 1 10 0:00:38 1800 1800 1800 3799 3769 10.1012  9.9255 10 10
001009 1  1 0:01:30 1800 1800 1800 3799 3769 10.1012  9.9255 10 10
001010 1  1 0:02:43 1800 1800 1800 3775 3745 15.0487 15.1040 15 15
001011 1  1 0:02:06 1800 1800 1800 3799 3769 10.1012  9.9255 10 10
001012 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001013 1  1 0:02:05 1800 1800 1800 3727 3699 24.9438 25.0294 25 25
001014 1  1 0:02:07 1800 1800 1800 3702 3676 30.0975 29.9922 30 30
001015 1  1 0:02:45 1700 1700 1700 3799 3769 10.1012  9.9255 10 10
001016 1  1 0:02:06 1700 1700 1700 3775 3745 15.0487 15.1040 15 15
001017 1  1 0:02:18 1700 1700 1700 3751 3722 19.9963 20.0667 20 20
001018 1  1 0:02:20 1700 1700 1700 3727 3699 24.9438 25.0294 25 25
001019 1  1 0:02:26 1700 1700 1700 3702 3676 30.0975 29.9922 30 30
001020 1  1 0:02:10 1600 1600 1600 3799 3769 10.1012  9.9255 10 10
001021 1  1 0:02:06 1600 1600 1600 3775 3745 15.0487 15.1040 15 15
001022 1  1 0:02:16 1600 1600 1600 3751 3722 19.9963 20.0667 20 20
001023 1  1 0:02:07 1600 1600 1600 3727 3699 24.9438 25.0294 25 25
001024 1  1 0:02:07 1600 1600 1600 3702 3676 30.0975 29.9922 30 30
001025 1  1 0:02:08 1500 1500 1500 3799 3769 10.1012  9.9255 10 10
001026 1  1 0:02:25 1500 1500 1500 3775 3745 15.0487 15.1040 15 15
001027 1  1 0:02:19 1500 1500 1500 3751 3722 19.9963 20.0667 20 20
001028 1  1 0:02:16 1500 1500 1500 3727 3699 24.9438 25.0294 25 25
001029 1  1 0:02:24 1500 1500 1500 3702 3676 30.0975 29.9922 30 30
001030 1  1 0:02:01 1400 1400 1400 3799 3769 10.1012  9.9255 10 10
001031 1  1 0:02:06 1400 1400 1400 3775 3745 15.0487 15.1040 15 15
001032 1  1 0:02:22 1400 1400 1400 3751 3722 19.9963 20.0667 20 20
001033 1  1 0:02:13 1400 1400 1400 3727 3699 24.9438 25.0294 25 25
001034 1  1 0:02:26 1400 1400 1400 3702 3676 30.0975 29.9922 30 30
001035 1  1 0:02:08 1800 1800 1800 3678 3653 35.0450 34.9549 35 35
001036 1  1 0:02:04 1800 1800 1800 3654 3630 39.9925 39.9176 40 40
001037 1  1 0:02:42 1700 1700 1700 3678 3653 35.0450 34.9549 35 35
001038 1  1 0:02:26 1700 1700 1700 3654 3630 39.9925 39.9176 40 40
001039 1  1 0:02:07 1600 1600 1600 3678 3653 35.0450 34.9549 35 35
001040 1  1 0:02:04 1600 1600 1600 3654 3630 39.9925 39.9176 40 40
001041 1  1 0:02:20 1650 1650 1650 3799 3769 10.1012  9.9255 10 10
001042 1  1 0:02:07 1650 1650 1650 3775 3745 15.0487 15.1040 15 15
001043 1  1 0:02:03 1650 1650 1650 3751 3722 19.9963 20.0667 20 20
001044 1  1 0:02:15 1650 1650 1650 3727 3699 24.9438 25.0294 25 25
001045 1  1 0:02:04 1650 1650 1650 3702 3676 30.0975 29.9922 30 30
001046 1  1 0:02:06 1750 1750 1750 3702 3676 30.0975 29.9922 30 30
001047 1  1 0:02:04 1750 1750 1750 3727 3699 24.9438 25.0294 25 25
001048 1  1 0:02:32 1750 1750 1750 3751 3722 19.9963 20.0667 20 20
001049 1  1 0:02:47 1750 1750 1750 3775 3745 15.0487 15.1040 15 15
001050 1  1 0:02:18 1750 1750 1750 3799 3769 10.1012  9.9255 10 10
001051 1  1 0:02:28 1830 1830 1830 3799 3769 10.1012  9.9255 10 10
001052 1  1 0:02:36 1830 1830 1830 3775 3745 15.0487 15.1040 15 15
001053 1  1 0:02:05 1830 1830 1830 3751 3722 19.9963 20.0667 20 20
001054 1  1 0:02:30 1830 1830 1830 3727 3699 24.9438 25.0294 25 25
001055 1  1 0:02:12 1830 1830 1830 3702 3676 30.0975 29.9922 30 30
001066 1  1 0:15:34 1700 1700 1700 3702 3676 30.0975 29.9922 30 30
001067 1  1 0:15:12 1700 1700 1700 3751 3722 19.9963 20.0667 20 20
001068 1  1 0:15:07 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001069 1  1 0:15:28 1800 1800 1800 3702 3676 30.0975 29.9922 30 30
