run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I t00 t01 aa sum
003025 0  5 0:00:56 2500 2500 2500 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003026 0  1 0:02:56 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003027 0  1 0:03:10 1900 1900 1900 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003028 0  1 0:03:01 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003029 0  1 0:03:04 2100 2100 2100 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003030 0  1 0:03:02 2150 2150 2150 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
003031 0  1 0:03:21 2150 2150 2150 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003032 0  1 0:03:10 2150 2150 2150 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
003033 0  1 0:03:01 2200 2200 2200 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
003034 0  1 0:02:53 2200 2200 2200 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003035 0  1 0:03:17 2200 2200 2200 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
003036 0  1 0:03:18 2300 2300 2300 3799 3769 10.1012  9.9255 10 10  -866 -866 46   30
003037 0  1 0:03:17 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -866 -866 46   30
003038 0  1 0:06:57 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -866 -866 46   30
003039 0  1 0:02:57 2300 2300 2300 3702 3676 30.0975 29.9922 30 30  -866 -866 46   30
003040 0  1 0:03:03 2400 2400 2400 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003041 0  5 0:00:54 2450 2450 2450 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
100001 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100002 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100003 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100004 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100005 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100006 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100007 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100008 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100009 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100010 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100011 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100012 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100013 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100014 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100015 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100016 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100017 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100018 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
100019 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20   0   0    46   30
