l1/I l2/I w1/I w2/I z x
4 5 4 6 -197.653270 -4.912455
4 5 4 7 -322.580689 -13.310446
4 5 4 8 -447.636851 -21.717092
4 5 4 9 -572.871869 -30.135762
4 5 5 0 677.407332 37.162945
4 5 5 1 551.984810 28.731672
4 5 5 2 426.783096 20.315241
4 5 5 3 301.751858 11.910271
4 5 5 4 176.841045 3.513395
4 5 5 5 52.000795 -4.878736
4 5 5 6 -72.818651 -13.269470
4 5 5 7 -197.667011 -21.662147
4 5 5 8 -322.594040 -30.060112
4 5 5 9 -447.649643 -38.466720
4 5 6 0 803.106658 28.825466
4 5 6 1 677.408655 20.382823
4 5 6 2 551.982355 11.958429
4 5 6 3 426.777061 3.548879
4 5 6 4 301.742446 -4.849207
4 5 6 5 176.828449 -13.239191
4 5 6 6 51.985196 -21.624424
4 5 6 7 -72.837074 -30.008248
4 5 6 8 -197.688072 -38.394001
4 5 6 9 -322.617581 -46.785027
4 5 7 0 929.149591 20.465196
4 5 7 1 803.121686 12.014724
4 5 7 2 677.416846 3.585915
4 5 7 3 551.983921 -4.824661
4 5 7 4 426.772218 -13.220404
4 5 7 5 301.731396 -21.604689
4 5 7 6 176.811376 -29.980874
4 5 7 7 51.962273 -38.352304
4 5 7 8 -72.865668 -46.722315
4 5 7 9 -197.722190 -55.094242
4 5 8 0 1055.591388 12.078469
4 5 8 1 929.178593 3.623736
4 5 8 2 803.140779 -4.805918
4 5 8 3 677.426255 -13.213949
4 5 8 4 551.983875 -21.603779
4 5 8 5 426.762931 -29.978799
4 5 8 6 301.713052 -38.342378
4 5 8 7 176.784144 -46.697866
4 5 8 8 51.926324 -55.048599
4 5 8 9 -72.910196 -63.397908
4 5 9 0 1182.487929 3.661580
4 5 9 1 1055.634593 -4.793818
4 5 9 2 929.208803 -13.220718
4 5 9 3 803.158234 -21.622608
4 5 9 4 677.431199 -30.002933
4 5 9 5 551.976532 -38.365103
4 5 9 6 426.743484 -46.712501
4 5 9 7 301.681668 -55.048486
4 5 9 8 176.740987 -63.376396
4 5 9 9 51.871521 -71.699560
5 6 0 0 10.279026 81.412733
5 6 0 1 135.623133 73.098815
5 6 0 2 261.019274 64.781445
5 6 0 3 386.514894 56.457478
5 6 0 4 512.157615 48.123753
5 6 0 5 637.995263 39.777099
5 6 0 6 764.075967 31.414323
5 6 0 7 890.448245 23.032208
5 6 0 8 1017.161015 14.627508
5 6 0 9 1144.263779 6.196940
5 6 0 10 1271.806587 -2.262815
5 6 1 0 -114.985445 73.128602
5 6 1 1 10.342238 64.786155
5 6 1 2 135.674474 56.443404
5 6 1 3 261.058619 48.097198
5 6 1 4 386.542123 39.744378
5 6 1 5 512.172568 31.381777
5 6 1 6 637.997768 23.006212
5 6 1 7 764.065851 14.614479
5 6 1 8 890.425272 6.203354
5 6 1 9 1017.124986 -2.230423
5 6 1 10 1144.214422 -10.690142
5 6 2 0 -240.295418 64.841462
5 6 2 1 -114.933827 56.473815
5 6 2 2 10.384843 48.109032
5 6 2 3 135.707934 39.743954
5 6 2 4 261.082801 31.375420
5 6 2 5 386.556860 23.000266
5 6 2 6 512.177690 14.615315
5 6 2 7 637.993104 6.217375
5 6 2 8 764.051175 -2.196761
5 6 2 9 890.400394 -10.630331
5 6 2 10 1017.089653 -19.086598
5 6 3 0 -365.701390 56.547974
5 6 3 1 -240.255507 48.158448
5 6 3 2 -114.900090 39.774973
5 6 3 3 10.412268 31.394377
5 6 3 4 135.728901 23.013495
5 6 3 5 261.097137 14.629163
5 6 3 6 386.564396 6.238208
5 6 3 7 512.178254 -2.162552
5 6 3 8 637.986482 -10.576310
5 6 3 9 764.037187 -19.006285
5 6 3 10 890.378805 -27.455715
5 6 4 0 -491.254021 48.244786
5 6 4 1 -365.673327 39.836702
5 6 4 2 -240.230789 31.437869
5 6 4 3 -114.878860 23.045102
5 6 4 4 10.429850 14.655229
5 6 4 5 135.742657 6.265082
5 6 4 6 261.106897 -2.128509
5 6 4 7 386.569989 -10.528719
5 6 4 8 512.179480 -18.938730
5 6 4 9 637.983167 -27.361744
5 6 4 10 764.029113 -35.800978
5 6 5 0 -617.004219 39.928532
5 6 5 1 -491.237975 31.505215
5 6 5 2 -365.657800 23.094359
5 6 5 3 -240.215930 14.692766
5 6 5 4 -114.864842 6.297254
5 6 5 5 10.442843 -2.095352
5 6 5 6 135.754455 -10.488220
5 6 5 7 261.117330 -18.884522
5 6 5 8 386.578867 -27.287432
5 6 5 9 512.186636 -35.700136
5 6 5 10 637.988403 -44.125833
5 6 6 0 -743.003199 31.595826
5 6 6 1 -617.000367 23.160606
5 6 6 2 -491.231816 14.741069
5 6 6 3 -365.649491 6.334000
5 6 6 4 -240.205658 -2.063799
5 6 6 5 -114.852798 -10.455507
5 6 6 6 10.456489 -18.844298
5 6 6 7 135.769534 -27.233341
5 6 6 8 261.133663 -35.625803
5 6 6 9 386.596295 -44.024860
5 6 6 10 512.204979 -52.433694
5 6 7 0 -869.302570 23.243254
5 6 7 1 -743.011730 14.799477
5 6 7 2 -617.003765 6.374613
5 6 7 3 -491.230246 -2.034575
5 6 7 4 -365.643153 -10.431300
5 6 7 5 -240.194749 -18.818752
5 6 7 6 -114.837488 -27.200110
5 6 7 7 10.476031 -35.578543
5 6 7 8 135.793140 -43.957216
5 6 7 9 261.161181 -52.339295
5 6 7 10 386.627565 -60.727949
5 6 8 0 -995.954424 14.867371
5 6 8 1 -869.323690 6.418404
5 6 8 2 -743.024884 -2.008418
5 6 8 3 -617.009125 -10.416353
5 6 8 4 -491.228026 -18.808632
5 6 8 5 -365.633555 -27.188459
5 6 8 6 -240.177945 -35.559021
5 6 8 7 -114.813647 -43.923491
5 6 8 8 10.506753 -52.285031
5 6 8 9 135.830598 -60.646802
5 6 8 10 261.205233 -69.011961
5 6 9 0 -1123.011473 6.464692
5 6 9 1 -995.988400 -1.986076
5 6 9 2 -869.346852 -10.411461
5 6 9 3 -743.037411 -18.814752
5 6 9 4 -617.011246 -27.199196
5 6 9 5 -491.219949 -35.568014
5 6 9 6 -365.615454 -43.924405
5 6 9 7 -240.149987 -52.271546
5 6 9 8 -114.775977 -60.612603
5 6 9 9 10.553997 -68.950730
5 6 9 10 135.887290 -77.289078
6 7 0 0 52.569227 84.209516
6 7 0 1 -73.246841 75.888907
6 7 0 2 -199.089922 67.566510
6 7 0 3 -325.005172 59.239342
6 7 0 4 -451.037897 50.904404
6 7 0 5 -577.233523 42.558693
6 7 0 6 -703.637751 34.199186
6 7 0 7 -830.296554 25.822844
6 7 0 8 -957.256315 17.426598
6 7 0 9 -1084.563810 9.007356
6 7 0 10 -1212.266344 0.561988
6 7 1 0 178.330888 75.932567
6 7 1 1 52.507334 67.583901
6 7 1 2 -73.298000 59.236443
6 7 1 3 -199.130219 50.887201
6 7 1 4 -325.034507 42.533177
6 7 1 5 -451.056108 34.171369
6 7 1 6 -577.240468 25.798762
6 7 1 7 -703.633246 17.412326
6 7 1 8 -830.280433 9.009009
6 7 1 9 -957.228354 0.585738
6 7 1 10 -1084.523789 -7.860592
6 7 2 0 304.159823 67.651191
6 7 2 1 178.280861 59.277617
6 7 2 2 52.465379 50.908265
6 7 2 3 -73.331744 42.540134
6 7 2 4 -199.155640 34.170223
6 7 2 5 -325.051439 25.795528
6 7 2 6 -451.064404 17.413039
6 7 2 7 -577.239947 9.019736
6 7 2 8 -703.623744 0.612579
6 7 2 9 -830.261740 -7.811487
6 7 2 10 -957.200261 -16.255544
6 7 3 0 430.104137 59.362221
6 7 3 1 304.121768 50.966883
6 7 3 2 178.248235 42.578797
6 7 3 3 52.438334 34.194952
6 7 3 4 -73.353084 25.812338
6 7 3 5 -199.171106 17.427952
6 7 3 6 -325.060878 9.038784
6 7 3 7 -451.067638 0.641820
6 7 3 8 -577.236816 -7.765967
6 7 3 9 -703.614047 -16.187618
6 7 3 10 -830.245281 -24.626196
6 7 4 0 556.212140 51.062478
6 7 4 1 430.078202 42.648519
6 7 4 2 304.098624 34.244857
6 7 4 3 178.228048 25.848467
6 7 4 4 52.421240 17.456330
6 7 4 5 -73.366913 9.065437
6 7 4 6 -199.181510 0.672780
6 7 4 7 -325.067685 -7.724651
6 7 4 8 -451.070689 -16.129875
6 7 4 9 -577.235921 -24.545921
6 7 4 10 -703.609022 -32.975834
6 7 5 0 682.532368 42.748767
6 7 5 1 556.198468 34.319336
6 7 5 2 430.064688 25.903257
6 7 5 3 304.085447 17.497490
6 7 5 4 178.215357 9.099006
6 7 5 5 52.409209 0.704788
6 7 5 6 -73.378118 -7.688174
6 7 5 7 -199.191720 -16.082889
6 7 5 8 -325.076742 -24.482369
6 7 5 9 -451.078415 -32.889633
6 7 5 10 -577.242144 -41.307710
6 7 6 0 809.113686 34.417873
6 7 6 1 682.531126 25.976126
6 7 6 2 556.194753 17.550797
6 7 6 3 430.058693 9.138827
6 7 6 4 304.077332 0.737174
6 7 6 5 178.205299 -7.657188
6 7 6 6 52.397382 -16.047274
6 7 6 7 -73.391549 -24.436094
6 7 6 8 -199.206600 -32.826656
6 7 6 9 -325.092903 -41.221970
6 7 6 10 -451.095696 -49.625053
6 7 7 0 936.005383 26.066551
6 7 7 1 809.125080 17.615660
6 7 7 2 682.537410 9.184259
6 7 7 3 556.196134 0.769269
6 7 7 4 430.055344 -7.632367
6 7 7 5 304.069433 -16.023687
6 7 7 6 178.193030 -24.407714
6 7 7 7 52.380904 -32.787459
6 7 7 8 -73.412081 -41.165930
6 7 7 9 -199.231029 -49.546130
6 7 7 10 -325.121081 -57.931066
6 7 8 0 1063.257175 17.691530
6 7 8 1 936.029591 9.234684
6 7 8 2 809.141540 0.800406
6 7 8 3 682.546341 -7.614406
6 7 8 4 556.197721 -16.012828
6 7 8 5 430.049770 -24.397911
6 7 8 6 304.056886 -32.772687
6 7 8 7 178.173668 -41.140173
6 7 8 8 52.354879 -49.503377
6 7 8 9 -73.444622 -57.865298
6 7 8 10 -199.269949 -66.228937
6 7 9 0 1190.919401 9.289496
6 7 9 1 1063.294460 0.829909
6 7 9 2 936.056473 -7.604029
6 7 9 3 809.158251 -16.015446
6 7 9 4 682.553080 -24.407438
6 7 9 5 556.194675 -32.783074
6 7 9 6 430.037133 -41.145395
6 7 9 7 304.034813 -49.497427
6 7 9 8 178.142310 -57.842180
6 7 9 9 52.314373 -66.182654
6 7 9 10 -73.494152 -74.521841
6 7 10 0 1319.042983 0.857099
6 7 10 1 1190.969990 -7.601986
6 7 10 2 1063.331977 -16.032341
6 7 10 3 936.081167 -24.437122
6 7 10 4 809.170332 -32.819448
6 7 10 5 682.552739 -41.182406
6 7 10 6 556.182113 -49.529051
6 7 10 7 430.012503 -57.862420
6 7 10 8 303.998263 -66.185527
6 7 10 9 178.093966 -74.501372
6 7 10 10 52.254349 -82.812945
7 8 0 0 73.513201 82.831098
7 8 0 1 199.840510 74.516921
7 8 0 2 326.236710 66.198210
7 8 0 3 452.745092 57.872116
7 8 0 4 579.408950 49.535790
7 8 0 5 706.271971 41.186356
7 8 0 6 833.377936 32.820932
7 8 0 7 960.771069 24.436609
7 8 0 8 1088.495431 16.030485
